experiment,protocol,protocol_description,img_extent,mouse_sex,mouse_strain,experimenter,background_image,expected_hole_count,no_reward_trials
2022-08-12,2_target_REL,"In this protocol, mice are trained to search for target A, then target B. Then there is a probe where mice are rotated 180 degreees and then evaluated to see if they travel between targets. Entrances are static.","-151.65, 151.34, -84.88, 85.51",male,,Ben Milley,BKGDimage-220812.png,100,
2025-01-21,2Target_ephys_Barrier,"Mouse 111 & 112 comes out from static entrance. Target A. Probe after tRIAL 18. Switch to Target B at Trial 21.Probe2 after trial 29. Barrier trials from Trial 30-34, then Probe 3 at the end. Compressed schedule, up to 6 trials a day. Mouse left in arena for 30min on the last trial of each day.","-139.56, 139.13, -78.26, 78.69",male,,Kelly Xu,BKGDimage-20250121.png,100,
2025-07-17,2_target,"The males had a total of 44 trials. The females had 29 trials. Both groups did target A, probe 1, target B, probe2.","-147.21, 146.75, -82.85, 83.01",mixed,,Amarpreet Dheer,BKGDimage-20250717.png,100,"habit*,probe*"
2024-11-09,2Target_ephys_DarkTape,"Mouse 109 & 110 comes out from static entrance. Target is A, Probe after Trial 18, then switches to B at Trial 21. Probe2 after Trial 29. 2 Dark Trials after a regular training trial, and 2 Tape trials at the end. Compressed schedule, up to 6 trials a day.  Mouse left in arena for 30min on the last trial of each day.","-139.27, 139.13, -78.26, 78.69",female,,Kelly Xu,BKGDimage-20241109.png,100,"habit*,probe*"
